update,old_loss_mean,new_loss_mean,delta_loss,old_test1_mean,new_test1_mean,delta_test1,old_test2_mean,new_test2_mean,delta_test2,old_test3_mean,new_test3_mean,delta_test3,old_test4_mean,new_test4_mean,delta_test4
80,0.18631447666492137,0.14369529088338215,-0.042619185781539226,0.4607468230805127,0.3029642621676127,-0.1577825609129,0.4229714854110865,0.3998614698648453,-0.023110015546241203,0.9313256584184052,0.9636633038520813,0.03233764543367612,0.9386302317224412,0.975631300608317,0.03700106888587584
81,0.18580378522559143,0.14336085319519043,-0.042442932030401004,0.460487432988894,0.3028998404741287,-0.15758759251476528,0.42266355217145385,0.39959932267665865,-0.023064229494795196,0.9317771327895089,0.9638906200726827,0.03211348728317376,0.9390686236151832,0.9758187810579936,0.036750157442810405
82,0.18530321513593784,0.1430333654085795,-0.04226984972735834,0.4602353253221612,0.30283505221207935,-0.15740027311008187,0.4223632947822179,0.3993392666180929,-0.02302402816412502,0.9322192088185894,0.9641124606132507,0.03189325179466129,0.9394976740775758,0.976001524925232,0.03650385084765617
83,0.18481243692855018,0.14271260499954225,-0.04209983192900793,0.4599902220127195,0.3027699182430903,-0.1572203037696292,0.4220704261913536,0.3990812649329503,-0.02298916125840328,0.9326521798938194,0.9643290559450786,0.03167687605125913,0.9399176806279652,0.9761797626813252,0.03626208205336001
84,0.18433113591208883,0.14239840507507323,-0.0419327308370156,0.45975185868997365,0.302704419195652,-0.15704743949432165,0.42178467361399535,0.3988252272208532,-0.02295944639314218,0.9330763278260664,0.9645405491193135,0.03146422129324711,0.9403289287773059,0.976353661219279,0.03602473244197313
85,0.18385901133196395,0.14209046761194866,-0.04176854372001529,0.4595199838479825,0.30263854960600534,-0.15688143424197715,0.4215057776492781,0.39857106606165565,-0.022934711587622447,0.933491923366696,0.9647471825281779,0.031255259161481974,0.940731692583537,0.9765233437220255,0.03579165113848859
86,0.1833957755884696,0.14178867340087892,-0.04160710218759067,0.4592943580726651,0.3025723104675611,-0.156722047605104,0.4212334914616801,0.39831874569257103,-0.02291474576910907,0.9338992267020548,0.9649490555127461,0.031049828810691293,0.9411262351794842,0.9766889691352845,0.03556273395580023
87,0.18294115350778753,0.14149280786514282,-0.04144834564264471,0.4590747533237662,0.3025057062506676,-0.1565690470730986,0.4209675800215642,0.3980681975682577,-0.022899382453306527,0.9342984879254318,0.9651463945706685,0.030847906645236733,0.9415128092753722,0.9768507202466329,0.03533791097126071
88,0.18249488166169103,0.14120274782180786,-0.04129213383988317,0.45886095226720064,0.30243875334660214,-0.1564221989205985,0.42070781940008994,0.39781939685344697,-0.022888422546642972,0.9346899474873183,0.9653393427530924,0.03064939526577415,0.9418916576370204,0.9770086844762166,0.03511702683919615
89,0.18205670773215588,0.14091825882593792,-0.041138448906217956,0.4586527476537794,0.3023714413245519,-0.1562813063292275,0.42045399611408385,0.3975722630818685,-0.022881733032215357,0.9350738366247923,0.9655280391375224,0.030454202512730122,0.942263013540786,0.9771630485852559,0.034900035044469924
90,0.18162638991741728,0.14063918987909954,-0.04098720003831774,0.45844994174066206,0.3023037691911062,-0.15614617254955587,0.4202059065168572,0.3973267525434494,-0.022879153973407784,0.9354503777708584,0.9657126228014629,0.030262245030604484,0.9426271012062922,0.9773138761520386,0.034686774945746346
91,0.18120369637632097,0.14036538203557333,-0.04083831434074764,0.4582523457521933,0.30223574886719384,-0.15601659688499947,0.41996335623130204,0.39708285232385,-0.022880503907452054,0.9358197849445712,0.9658932209014892,0.030073435956918027,0.9429841362079642,0.9774613459904988,0.03447720978253466
92,0.180788404708085,0.140096644560496,-0.04069176014758899,0.45805977937707026,0.3021674027045568,-0.1558923766725135,0.41972615962192295,0.3968404750029246,-0.02288568461899837,0.9361822641227563,0.966070020198822,0.029887756076065752,0.9433343258663602,0.9776055375734966,0.03427121170713632
93,0.18038030146483994,0.13983294169108074,-0.0405473597737592,0.45787207029904403,0.30209870090087254,-0.1557733693981715,0.41949413930274926,0.3965996354818344,-0.022894503820914847,0.9365380135941321,0.9662431160608927,0.029705102466760613,0.9436778696202587,0.9777466098467509,0.0340687402264922
94,0.17997918169453458,0.1395740509033203,-0.04040513079121427,0.45768905375859714,0.3020296826958656,-0.15565937106273153,0.4192671256783353,0.3963602721691132,-0.022906853509222114,0.9368872242966187,0.9664125959078471,0.029525371611228368,0.9440149593804305,0.9778845906257629,0.03386963124533249
95,0.17958484851200124,0.13931983311971027,-0.040265015392290965,0.457510572143255,0.30196035355329515,-0.15555021858995988,0.41904495651530266,0.396122345328331,-0.022922611186971642,0.9372300801385945,0.9665786186854045,0.029348538546809966,0.9443457798659931,0.978019658724467,0.03367387885847384
96,0.179197112696153,0.139070196946462,-0.04012691574969099,0.4573364746043823,0.30189071744680407,-0.15544575715757825,0.41882747654208446,0.3958858519792557,-0.022941624562828777,0.9375667583048471,0.9667412757873535,0.029174517482506324,0.9446705089242051,0.9781518340110779,0.03348132508687274
97,0.17881579231145447,0.1388249675432841,-0.03999082476817037,0.457166616698499,0.301820769906044,-0.155345846792455,0.41861453707474217,0.3956507404645284,-0.02296379661021375,0.9378974295479341,0.9669006983439128,0.0290032687959787,0.9449893178345246,0.9782812794049581,0.03329196157043357
98,0.17844071235195832,0.13858404954274495,-0.03985666280921338,0.4570008600513047,0.30175054917732874,-0.15525031087397595,0.4184059956668935,0.3954170097907384,-0.02298898587615511,0.9382222584656442,0.9670569260915121,0.028834667625867838,0.9453023715977288,0.9784080624580384,0.03310569086030957
99,0.17807170440633555,0.1383473515510559,-0.03972435285527964,0.45683907204276003,0.30168005377054213,-0.1551590182722179,0.4182017157819639,0.395184600353241,-0.023017115428722923,0.9385414037652318,0.9672101100285848,0.02866870626335305,0.9456098292108465,0.9785322586695353,0.03292242945868884
100,0.1777086063424535,0.13811471064885458,-0.03959389569359892,0.456681125511697,0.3016092926263809,-0.15507183288531606,0.4180015664861138,0.394953516125679,-0.02304805036043478,0.93885501851506,0.9673603653907776,0.028505346875717597,0.9459118439286257,0.9786539276440939,0.03274208371546816
101,0.17735126201016962,0.13788604338963825,-0.03946521862053137,0.4565268984785614,0.3015382781624794,-0.15498862031608202,0.41780542216033484,0.3947237432003021,-0.023081678960032714,0.9391632503842678,0.9675077160199483,0.028344465635680494,0.9462085635122255,0.9787731647491456,0.032564601236920065
102,0.17699646780384687,0.1376593033472697,-0.03933716445657717,0.45637496423626794,0.30146640638510386,-0.15490855785116409,0.41761149059121866,0.39449326594670614,-0.02311822464451252,0.9394688703075413,0.9676535487174988,0.02818467840995742,0.9465026592036337,0.9788910786310832,0.03238841942744941
103,0.1766441950916531,0.13743449052174886,-0.03920970456990425,0.45622529057151545,0.30139366338650386,-0.1548316271850116,0.41741974032616624,0.3942620853583018,-0.023157654967864427,0.9397719051477484,0.967797843615214,0.028025938467465594,0.946794159248348,0.9790076971054077,0.032213537857059715
104,0.176294415706037,0.13721154928207396,-0.039082866423963025,0.4560778457558726,0.3013200630744298,-0.1547577826814428,0.4172301404509701,0.39403016368548077,-0.02319997676548935,0.9400723815289432,0.9679406722386678,0.02786829070972452,0.9470830916124824,0.9791229923566183,0.032039900744135874
105,0.17594710193393612,0.13699043194452923,-0.03895666998940689,0.4559325985339232,0.30124560594558714,-0.15468699258833607,0.4170426605756099,0.3937975585460663,-0.023245102029543607,0.9403703258335894,0.9680820385615031,0.02771171272791373,0.9473694839811605,0.9792369961738586,0.03186751219269812
106,0.17560222650723392,0.13677117427190144,-0.03883105223533248,0.45578951811180796,0.3011702850461006,-0.15461923306570735,0.4168572708205121,0.39356421629587807,-0.023293054524634038,0.9406657642001436,0.9682219386100769,0.0275561744099333,0.9476533637572316,0.9793497721354166,0.03169640837818499
107,0.17525976259345794,0.13655375242233275,-0.03870601017112518,0.45564857414615056,0.3010941008726756,-0.154554473273475,0.4166739418032587,0.3933302044868469,-0.02334373731641176,0.9409587225209787,0.968360443909963,0.027401721388984335,0.9479347580603,0.9794613043467204,0.031526546286420376
108,0.17491968378671266,0.1363381067911784,-0.03858157699553427,0.45550973673335826,0.30101707577705383,-0.15449266095630443,0.41649264462573427,0.3930954605340958,-0.02339718409163849,0.9412492264406302,0.9684975226720174,0.027248296231387137,0.9482136937260388,0.9795716206232706,0.031357926897231825
109,0.17458196409883867,0.1361242930094401,-0.03845767108939857,0.4553729763992897,0.3009391779700915,-0.1544337984291982,0.41631335086170146,0.3928599923849106,-0.023453358476790864,0.941537301354345,0.968633238474528,0.02709593712018299,0.9484901973057802,0.9796807249387105,0.031190527632930287
110,0.17424657795079296,0.13591220378875732,-0.03833437416203564,0.45523826408927975,0.30086043626070025,-0.1543778278285795,0.416136032544792,0.39262383580207827,-0.02351219674271371,0.9418229724069195,0.9687675913174947,0.026944618910575202,0.9487642950663621,0.9797886490821839,0.03102435401582182
111,0.17391350016424195,0.135701851050059,-0.038211649114182955,0.45510557115851114,0.3007808531324069,-0.15432471802610426,0.4159606621569008,0.39238695005575813,-0.023573712101142674,0.9421062644918056,0.9689005931218465,0.026794328630040942,0.9490360129902143,0.9798954089482625,0.030859395958048208
112,0.17358270595336245,0.13549325863520303,-0.038089447318159414,0.4549748693627256,0.30070040971040723,-0.15427445965231834,0.41578721261697515,0.3921493887901306,-0.02363782382684454,0.942387202250476,0.9690322717030843,0.02664506945260825,0.9493053767756721,0.9800010283788045,0.03069565160313248
113,0.17325417091684261,0.1352863907814026,-0.03796778013544003,0.45484613084926123,0.300619134803613,-0.1542269960456482,0.41561565727018446,0.39191111822923025,-0.02370453904095421,0.9426658100720249,0.9691626548767089,0.02649684480468406,0.9495724118374997,0.9801055034001668,0.030533091562667036
114,0.1729278710300789,0.13508119185765585,-0.03784667917242304,0.4547193281484108,0.30053702294826506,-0.15418230520014575,0.4154459698774603,0.39167215426762897,-0.023773815609831328,0.9429421120929972,0.9692917307217915,0.02634961862879437,0.9498371433076147,0.9802088975906372,0.030371754283022523
115,0.17260378263756185,0.13487768173217773,-0.03772610090538411,0.4545944341650887,0.3004540910323461,-0.1541403431327426,0.4152781246053963,0.39143251279989877,-0.023845611805497546,0.9432161321974298,0.9694195787111918,0.02620344651376194,0.9500995960359919,0.9803111751874288,0.030211579151436907
116,0.1722818824454455,0.13467583258946736,-0.03760604985597815,0.45447142217079645,0.30037033061186474,-0.1541010915589317,0.41511209601649585,0.39119216799736023,-0.023919928019135617,0.9434878940170887,0.9695461829503377,0.02605828893324902,0.9503597945917459,0.9804124037424723,0.030052609150726384
117,0.17196214751429556,0.13447561264038085,-0.037486534873914706,0.45435026579588084,0.3002857396999995,-0.15406452609588134,0.4149478590597559,0.39095115959644317,-0.023996699463312732,0.9437574209318949,0.9696715275446574,0.0259141066127625,0.9506177632643676,0.980512547492981,0.029894784228613358
